productid,productname,category,unitprice,stockcount,supplier
2000,Electronics-Nova X Smartphone,electronics,969.31,123,PrimeGate Procurement
2001,Clothing-Apex Pro Laptop,clothing,412.35,275,ApexNova Supplies
2002,Clothing-Nova X Smartphone,clothing,866.0,354,HorizonWorks Industries
2003,Clothing-Apex Pro Laptop,clothing,385.18,255,IronBridge Importers
2004,Home-Cozycap Knit Hat,home,927.25,71,GreenPort Essentials
2005,Home-Strideflex Sneakers,home,428.78,345,MetroVale Supply Co.
2006,Clothing-Strideflex Sneakers,clothing,198.0,404,MetroVale Supply Co.
2007,Electronics-Comfyrest Sofa,electronics,583.39,53,SummitStone Trading
2008,Home-Softweave Area Rug,home,66.59,158,OceanSpan Supply Chain
2009,Clothing-Urbanfit T,clothing,66.31,342,BlueRiver Distributors
2010,Clothing-Nova X Smartphone,clothing,77.84,76,MetroVale Supply Co.
2011,Clothing-Lumaglow Floor Lamp,clothing,409.74,103,OceanSpan Supply Chain
2012,Electronics-Strideflex Sneakers,electronics,623.19,314,HorizonWorks Industries
2013,Home-Urbanfit T,home,935.36,465,AtlasPeak Sourcing
2014,Home-Urbanfit T,home,246.3,58,VertexOne Global
2015,Clothing-Skytab Mini Tablet,clothing,674.97,62,MetroVale Supply Co.
2016,Office-Comfyrest Sofa,office,323.02,344,MetroVale Supply Co.
2017,Electronics-Lumaglow Floor Lamp,electronics,463.7,451,ClearWave Enterprises
2018,Electronics-Thermashell Jacket,electronics,542.26,199,GreenPort Essentials
2019,Clothing-Ergolux Office Chair,clothing,933.93,126,ApexNova Supplies
2020,Clothing-Echowave Headphones,clothing,375.83,460,PrimeGate Procurement
2021,Office-Skytab Mini Tablet,office,835.41,421,EcoFood Wholesale
2022,Electronics-Strideflex Sneakers,electronics,671.18,31,ApexNova Supplies
2023,Electronics-Cozycap Knit Hat,electronics,939.54,192,OceanSpan Supply Chain
2024,Home-Prodesk Workstation,home,124.27,323,TerraCore Solutions
2025,Clothing-Echowave Headphones,clothing,279.62,280,ClearWave Enterprises
2026,Home-Skytab Mini Tablet,home,211.56,260,IronBridge Importers
2027,Office-Storify Bookshelf,office,258.61,72,SummitStone Trading
2028,Electronics-Urbanfit T,electronics,637.94,94,QuantumEdge Traders
2029,Electronics-Comfyrest Sofa,electronics,13.51,59,ZenithFlow Materials
2030,Home-Printpro Laser Printer,home,169.97,471,GreenPort Essentials
2031,Office-Echowave Headphones,office,565.3,36,QuantumEdge Traders
2032,Electronics-Nova X Smartphone,electronics,945.6,28,MetroVale Supply Co.
2033,Electronics-Comfyrest Sofa,electronics,836.25,254,ZenithFlow Materials
2034,Office-Prodesk Workstation,office,136.17,93,IronBridge Importers
2035,Home-Echowave Headphones,home,899.99,378,ApexNova Supplies
2036,Home-Echowave Headphones,home,217.98,56,Zero Supplies
2037,Electronics-Snapbind Stapler,electronics,360.14,263,HorizonWorks Industries
2038,Clothing-Lumaglow Floor Lamp,clothing,926.51,445,SilverPoint Logistics
2039,Clothing-Oakline Coffee Table,clothing,976.44,93,SummitStone Trading
2040,Office-Echowave Headphones,office,34.54,136,NorthStar Components
2041,Office-Strideflex Sneakers,office,804.21,151,SummitStone Trading
2042,Home-Thermashell Jacket,home,167.61,330,TerraCore Solutions
2043,Office-Prodesk Workstation,office,873.45,357,EcoFood Wholesale
2044,Clothing-Prodesk Workstation,clothing,207.58,89,NorthStar Components
2045,Home-Comfyrest Sofa,home,312.14,122,BlueRiver Distributors
2046,Clothing-Ergolux Office Chair,clothing,33.43,322,QuantumEdge Traders
2047,Office-Urbanfit T,office,334.98,490,MetroVale Supply Co.
2048,Home-Oakline Coffee Table,home,357.63,346,HorizonWorks Industries
2049,Home-Cozycap Knit Hat,home,939.84,337,VertexOne Global
2050,Home-Printpro Laser Printer,home,186.78,260,ZenithFlow Materials
2051,Electronics-Lumaglow Floor Lamp,electronics,117.32,409,VertexOne Global
2052,Home-Storify Bookshelf,home,731.26,356,MetroVale Supply Co.
2053,Office-Oakline Coffee Table,office,610.15,288,BlueRiver Distributors
2054,Office-Nova X Smartphone,office,900.51,440,ClearWave Enterprises
2055,Home-Storify Bookshelf,home,53.94,305,Zero Supplies
2056,Electronics-Ergolux Office Chair,electronics,524.72,181,NorthStar Components
2057,Home-Snapbind Stapler,home,436.98,203,BlueRiver Distributors
2058,Home-Comfyrest Sofa,home,666.75,169,SummitStone Trading
2059,Home-Skytab Mini Tablet,home,512.05,154,OceanSpan Supply Chain
2060,Home-Oakline Coffee Table,home,408.38,261,Zero Supplies
2061,Clothing-Oakline Coffee Table,clothing,199.92,147,SilverPoint Logistics
2062,Clothing-Softweave Area Rug,clothing,619.36,346,VertexOne Global
2063,Office-Lumaglow Floor Lamp,office,552.46,268,BlueRiver Distributors
2064,Home-Strideflex Sneakers,home,294.04,355,BlueRiver Distributors
2065,Home-Strideflex Sneakers,home,470.34,441,BlueRiver Distributors
2066,Clothing-Prodesk Workstation,clothing,516.06,181,OceanSpan Supply Chain
2067,Electronics-Lumaglow Floor Lamp,electronics,290.95,391,TerraCore Solutions
2068,Electronics-Comfyrest Sofa,electronics,820.24,173,SilverPoint Logistics
2069,Home-Denimforge Jeans,home,232.39,187,BlueRiver Distributors
2070,Clothing-Echowave Headphones,clothing,34.18,274,HorizonWorks Industries
2071,Office-Skytab Mini Tablet,office,615.16,320,SilverPoint Logistics
2072,Office-Oakline Coffee Table,office,420.3,72,HorizonWorks Industries
2073,Office-Thermashell Jacket,office,499.43,363,PrimeGate Procurement
2074,Clothing-Ergolux Office Chair,clothing,659.5,119,GreenPort Essentials
2075,Electronics-Clearnote Whiteboard,electronics,780.64,394,GreenPort Essentials
2076,Clothing-Clearnote Whiteboard,clothing,806.07,497,SummitStone Trading
2077,Electronics-Denimforge Jeans,electronics,561.83,229,SummitStone Trading
2078,Office-Echowave Headphones,office,142.01,68,HorizonWorks Industries
2079,Home-Cozycap Knit Hat,home,950.54,152,HorizonWorks Industries
2080,Office-Echowave Headphones,office,832.26,376,PrimeGate Procurement
2081,Clothing-Printpro Laser Printer,clothing,746.22,196,SummitStone Trading
2082,Office-Lumaglow Floor Lamp,office,266.6,321,ApexNova Supplies
2083,Home-Printpro Laser Printer,home,768.16,178,NorthStar Components
2084,Clothing-Strideflex Sneakers,clothing,281.85,143,NorthStar Components
2085,Home-Printpro Laser Printer,home,242.15,235,ZenithFlow Materials
2086,Home-Storify Bookshelf,home,894.1,227,Zero Supplies
2087,Clothing-Cozycap Knit Hat,clothing,159.32,460,SummitStone Trading
2088,Clothing-Storify Bookshelf,clothing,709.35,30,MetroVale Supply Co.
2089,Office-Softweave Area Rug,office,413.52,101,QuantumEdge Traders
2090,Office-Urbanfit T,office,71.64,58,AtlasPeak Sourcing
2091,Office-Strideflex Sneakers,office,905.79,384,AtlasPeak Sourcing
2092,Office-Ergolux Office Chair,office,482.21,25,MetroVale Supply Co.
2093,Home-Prodesk Workstation,home,755.94,136,SilverPoint Logistics
2094,Clothing-Clearnote Whiteboard,clothing,493.35,55,BlueRiver Distributors
2095,Office-Ergolux Office Chair,office,490.79,312,ApexNova Supplies
2096,Home-Storify Bookshelf,home,672.18,373,MetroVale Supply Co.
2097,Clothing-Urbanfit T,clothing,842.1,260,AtlasPeak Sourcing
2098,Electronics-Printpro Laser Printer,electronics,907.86,457,OceanSpan Supply Chain
2099,Electronics-Oakline Coffee Table,electronics,646.32,150,ZenithFlow Materials
